age_ma,step,display_x,lat
60,0,-20.000000000013642,-55.00000000000199
60,1,-19.0000000000137,-54.000000000002046
60,2,-18.000000000013756,-53.0000000000021
60,3,-17.000000000013813,-52.00000000000216
60,4,-16.00000000001387,-51.00000000000222
60,5,-15.000000000013927,-50.000000000002274
60,6,-14.000000000013983,-50.000000000002274
60,7,-13.00000000001404,-50.000000000002274
60,8,-12.000000000014097,-50.000000000002274
60,9,-11.000000000014154,-50.000000000002274
60,10,-10.00000000001421,-50.000000000002274
60,11,-9.000000000014268,-50.000000000002274
60,12,-8.000000000014325,-50.000000000002274
60,13,-7.000000000014381,-50.000000000002274
60,14,-6.000000000014438,-50.000000000002274
60,15,-5.000000000014495,-50.000000000002274
60,16,-4.000000000014552,-50.000000000002274
60,17,-3.0000000000146088,-50.000000000002274
60,18,-2.0000000000146656,-50.000000000002274
60,19,-1.0000000000147224,-50.000000000002274
60,20,-1.4779288903810084e-11,-50.000000000002274
60,21,0.9999999999851639,-50.000000000002274
60,22,1.999999999985107,-50.000000000002274
60,23,2.99999999998505,-50.000000000002274
60,24,3.9999999999849933,-50.000000000002274
60,25,4.9999999999849365,-50.000000000002274
60,26,5.99999999998488,-50.000000000002274
60,27,6.999999999984823,-50.000000000002274
60,28,7.999999999984766,-50.000000000002274
60,29,8.99999999998471,-50.000000000002274
60,30,9.999999999984652,-50.000000000002274
60,31,10.999999999984595,-50.000000000002274
60,32,11.999999999984539,-50.000000000002274
60,33,12.999999999984482,-50.000000000002274
60,34,13.999999999984425,-50.000000000002274
60,35,14.999999999984368,-50.000000000002274
60,36,15.999999999984311,-50.000000000002274
60,37,16.999999999984254,-50.000000000002274
60,38,17.999999999984198,-50.000000000002274
60,39,18.99999999998414,-49.00000000000233
60,40,19.999999999984084,-48.00000000000239
60,41,20.999999999984027,-47.000000000002444
60,42,21.99999999998397,-47.000000000002444
60,43,22.999999999983913,-46.0000000000025
60,44,23.999999999983856,-45.00000000000256
60,45,24.9999999999838,-45.00000000000256
60,46,25.999999999983743,-45.00000000000256
60,47,26.999999999983686,-45.00000000000256
60,48,27.99999999998363,-44.000000000002615
60,49,28.999999999983572,-43.00000000000267
60,50,29.999999999983515,-42.00000000000273
60,51,30.99999999998346,-41.000000000002785
60,52,31.9999999999834,-41.000000000002785
60,53,32.999999999983345,-40.00000000000284
60,54,33.99999999998329,-39.0000000000029
60,55,34.99999999998323,-38.000000000002956
60,56,35.999999999983174,-38.000000000002956
60,57,36.99999999998312,-37.00000000000301
60,58,37.99999999998306,-36.00000000000307
60,59,38.999999999983004,-35.000000000003126
60,60,39.99999999998295,-35.000000000003126
60,61,40.99999999998289,-35.000000000003126
60,62,41.99999999998283,-34.00000000000318
60,63,42.999999999982776,-33.00000000000324
60,64,43.99999999998272,-32.0000000000033
60,65,44.99999999998266,-31.000000000003354
60,66,45.999999999982606,-30.00000000000341
60,67,46.99999999998255,-29.000000000003467
60,68,47.99999999998249,-28.000000000003524
60,69,48.999999999982435,-28.000000000003524
60,70,49.99999999998238,-28.000000000003524
60,71,50.99999999998232,-27.00000000000358
60,72,51.999999999982265,-28.000000000003524
60,73,52.99999999998221,-28.000000000003524
60,74,53.99999999998215,-28.000000000003524
60,75,54.999999999982094,-28.000000000003524
60,76,55.99999999998204,-28.000000000003524
60,77,56.99999999998198,-29.000000000003467
60,78,57.999999999981924,-29.000000000003467
60,79,58.99999999998187,-29.000000000003467
60,80,59.99999999998181,-30.00000000000341
60,81,60.99999999998175,-31.000000000003354
60,82,61.999999999981696,-32.0000000000033
60,83,62.99999999998164,-33.00000000000324
60,84,63.99999999998158,-34.00000000000318
