age_ma,code,bin,paleo_lon,paleo_lat,robinson_x,robinson_y
410,E,arid,58.073250384116534,-66.01577150164084,4123445.01798307,-6911605.823916305
410,E,arid,95.13475493083315,-32.56982814583836,8552947.95834581,-3483480.5932581844
410,E,arid,94.96527732150305,-33.55969086732951,8506129.372819887,-3589349.109559781
410,E,arid,97.0578132648841,-31.559507467948592,8757348.42823963,-3375399.467455815
410,E,arid,114.09851815365994,-39.88088973487417,9940532.94849792,-4263691.785710026
410,E,arid,136.59996662504793,0.8106307945240655,12904949.396117194,86698.52024206679
410,E,arid,136.55770100626373,-8.246071369099853,12859311.71314594,-881933.1583133466
410,E,arid,-6.526813223444343,13.191082665244455,-611859.5648892979,1410811.5771711918
410,E,arid,-0.8253947383092209,19.190569155262274,-76697.94751737696,2052465.519769956
410,E,arid,-1.773119316285355,24.36605361787825,-163218.0763029625,2605999.2429335024
410,E,arid,-8.567909819321248,21.154704384338096,-793483.555165235,2262538.6780497073
410,E,arid,-14.334912509779754,29.19149639843083,-1303405.5451400303,3122070.577817155
410,E,arid,3.129642822689623,28.79467367899851,284900.23658610164,3079625.9092352926
410,E,arid,-19.097278216812303,31.37822856676021,-1724193.2810494401,3356005.4264895995
410,E,arid,-25.786469072518113,25.339011201713518,-2368646.426212821,2710053.292152482
410,E,arid,1.9716108677321906,20.950096674496464,182657.95599578478,2240655.006739702
410,E,arid,-7.874977152268161,20.012602890003915,-730744.1141834947,2140386.2470426057
410,E,arid,-8.132469393937244,32.20423657304601,-732107.3340023881,3444372.6919434047
410,E,arid,-2.0533908879748877,17.565131105861155,-191320.20315244282,1878622.0738887973
410,E,arid,-3.7982096709702295,17.44824443453607,-353956.2898070163,1866120.90331657
410,E,arid,124.99041592045351,-38.66428887918293,10954547.464828126,-4134269.2529913913
410,E,arid,106.94876937687543,-32.299599943864976,9624516.879347816,-3454574.131318701
410,E,arid,125.15210931080608,-35.25359470090305,11134935.5274853,-3770413.9270612258
410,E,arid,94.8854220814073,-50.91538284197571,7729432.235929063,-5421412.64207169
410,E,arid,174.51528462105358,-13.173186108109478,16360366.15393651,-1408897.5085563534
410,E,arid,148.26988837934044,-10.275086074602706,13940385.152095757,-1098940.1481117276
